--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ABILITY3    |ITEM
 51|Dugtrio   |GROUND           |  35|  80|  50| 120|  50|  70|Pure Power  |--          |Quick Feet  |
 52|Meowth    |NORMAL           |  40|  45|  35|  90|  40|  40|Early Bird  |Technician  |Stench      |Relic Copper (rare)
 53|Persian   |NORMAL           |  65|  70|  60| 115|  65|  65|Natural Cure|--          |Magma Armor |Fluffy Tail (common), Rocky Helmet (rare), SilverPowder (dark grass only)
 54|Psyduck   |WATER            |  50|  52|  48|  55|  65|  50|Swarm       |Normalize   |Adaptability|
 55|Golduck   |WATER            |  80|  82|  78|  85|  95|  80|Heatproof   |Steadfast   |Torrent     |Moon Stone (100%)
 56|Mankey    |FIGHTING         |  40|  80|  35|  70|  35|  45|Iron Fist   |Suction Cups|Water Veil  |Choice Band (dark grass only)
 57|Primeape  |FIGHTING         |  65| 105|  60|  95|  60|  70|Chlorophyll |Lightningrod|Rain Dish   |
 58|Growlithe |FIRE             |  55|  70|  45|  60|  70|  50|Heatproof   |Sand Stream |Suction Cups|
 59|Arcanine  |FIRE             |  90| 110|  80|  95| 100|  80|Solid Rock  |--          |Huge Power  |Full Restore (100%)
 60|Poliwag   |WATER            |  40|  50|  40|  90|  40|  40|Magma Armor |Lightningrod|Storm Drain |Spooky Plate (common)
 61|Poliwhirl |WATER            |  65|  65|  65|  90|  50|  50|Unaware     |Scrappy     |Rock Head   |
 62|Poliwrath |WATER/FIGHTING   |  90|  85|  95|  70|  70|  90|Filter      |Poison Point|Bad Dreams  |Revive (100%)
 63|Abra      |PSYCHIC          |  25|  20|  15|  90| 105|  55|Static      |--          |Flower Gift |Swift Wing (common), Quick Ball (dark grass only)
 64|Kadabra   |PSYCHIC          |  40|  35|  30| 105| 120|  70|Anger Point |Effect Spore|Water Veil  |Hyper Potion (dark grass only)
 65|Alakazam  |PSYCHIC          |  55|  50|  45| 120| 135|  85|Wonder Guard|--          |Iron Fist   |Relic Vase (rare), Earth Plate (dark grass only)
 66|Machop    |FIGHTING         |  70|  80|  50|  35|  35|  35|Shell Armor |--          |Storm Drain |
 67|Machoke   |FIGHTING         |  80| 100|  70|  45|  50|  60|Stench      |--          |Hustle      |Premier Ball (dark grass only)
 68|Machamp   |FIGHTING         |  90| 130|  80|  55|  65|  85|Bad Dreams  |--          |Chlorophyll |Shed Shell (common), Red Flute (rare)
 69|Bellsprout|GRASS/POISON     |  50|  75|  35|  40|  70|  30|Truant      |Solid Rock  |Suction Cups|Rare Candy (dark grass only)
 70|Weepinbell|GRASS/POISON     |  65|  90|  50|  55|  85|  45|Synchronize |Sticky Hold |Technician  |Rock Incense (dark grass only)
 71|Victreebel|GRASS/POISON     |  80| 105|  65|  70| 100|  60|Steadfast   |Poison Point|Hustle      |Electirizer (common), Ring Target (dark grass only)
 72|Tentacool |WATER/POISON     |  40|  40|  35|  70|  50| 100|Synchronize |Cloud Nine  |Insomnia    |Binding Band (100%)
 73|Tentacruel|WATER/POISON     |  80|  70|  65| 100|  80| 120|Keen Eye    |Clear Body  |Download    |
 74|Geodude   |ROCK/GROUND      |  40|  80| 100|  20|  30|  30|Drizzle     |--          |Air Lock    |Fire Stone (dark grass only)
 75|Graveler  |ROCK/GROUND      |  55|  95| 115|  35|  45|  45|Drought     |Leaf Guard  |Stall       |
 76|Golem     |ROCK/GROUND      |  80| 110| 130|  45|  55|  65|No Guard    |Klutz       |Sturdy      |Douse Drive (common), Iron Plate (rare)
 77|Ponyta    |FIRE             |  50|  85|  55|  90|  65|  65|Bad Dreams  |--          |Clear Body  |Chill Drive (dark grass only)
 78|Rapidash  |FIRE             |  65| 100|  70| 105|  80|  80|Download    |--          |Solar Power |Choice Scarf (rare), Antidote (dark grass only)
 79|Slowpoke  |WATER/PSYCHIC    |  90|  65|  65|  15|  40|  40|Shell Armor |Huge Power  |Snow Warning|White Herb (dark grass only)
 80|Slowbro   |WATER/PSYCHIC    |  95|  75| 110|  30| 100|  80|Tinted Lens |--          |Sniper      |
 81|Magnemite |ELECTRIC/STEEL   |  25|  35|  70|  45|  95|  55|Suction Cups|Battle Armor|Rough Skin  |Yellow Shard (dark grass only)
 82|Magneton  |ELECTRIC/STEEL   |  50|  60|  95|  70| 120|  70|Cloud Nine  |--          |Natural Cure|Health Wing (rare), Electirizer (dark grass only)
 83|Farfetch'd|NORMAL/FLYING    |  52|  65|  55|  60|  58|  62|Volt Absorb |--          |Sand Stream |Absorb Bulb (100%)
 84|Doduo     |NORMAL/FLYING    |  35|  85|  45|  75|  35|  35|Early Bird  |--          |Anger Point |
 85|Dodrio    |NORMAL/FLYING    |  60| 110|  70| 100|  60|  60|Klutz       |--          |Early Bird  |Poison Barb (common), Green Shard (rare), Ice Heal (dark grass only)
 86|Seel      |WATER            |  65|  45|  55|  45|  45|  70|Early Bird  |--          |Lightningrod|
 87|Dewgong   |WATER/ICE        |  90|  70|  80|  70|  70|  95|Flame Body  |--          |Dry Skin    |Berry Juice (dark grass only)
 88|Grimer    |POISON           |  80|  80|  50|  25|  40|  50|Thick Fat   |--          |Torrent     |Max Revive (dark grass only)
 89|Muk       |POISON           | 105| 105|  75|  50|  65| 100|Swarm       |Steadfast   |Swift Swim  |X Defend (dark grass only)
 90|Shellder  |WATER            |  30|  65| 100|  40|  45|  25|Shed Skin   |Shell Armor |Swarm       |
 91|Cloyster  |WATER/ICE        |  50|  95| 180|  70|  85|  45|Color Change|Cloud Nine  |Forewarn    |Water Gem (rare), Grass Gem (dark grass only)
 92|Gastly    |GHOST/POISON     |  30|  35|  30|  80| 100|  35|Water Veil  |Sand Veil   |Solar Power |Rock Incense (common), Dome Fossil (dark grass only)
 93|Haunter   |GHOST/POISON     |  45|  50|  45|  95| 115|  55|Magma Armor |Run Away    |Rain Dish   |Thunderstone (dark grass only)
 94|Gengar    |GHOST/POISON     |  60|  65|  60| 110| 130|  75|Anger Point |Klutz       |Normalize   |Life Orb (dark grass only)
 95|Onix      |ROCK/GROUND      |  35|  45| 160|  70|  30|  45|Unburden    |Damp        |Storm Drain |Sea Incense (rare), Oval Stone (dark grass only)
 96|Drowzee   |PSYCHIC          |  60|  48|  45|  42|  43|  90|Poison Point|Sniper      |Unaware     |Float Stone (dark grass only)
 97|Hypno     |PSYCHIC          |  85|  73|  70|  67|  73| 115|Speed Boost |--          |Arena Trap  |Safari Ball (common), Smoke Ball (rare)
 98|Krabby    |WATER            |  30| 105|  90|  50|  25|  25|No Guard    |--          |Magic Guard |Leftovers (common), Nugget (rare)
 99|Kingler   |WATER            |  55| 130| 115|  75|  50|  50|Flower Gift |--          |Iron Fist   |Burn Drive (common)
100|Voltorb   |ELECTRIC         |  40|  30|  50| 100|  55|  55|Anticipation|Mold Breaker|Sand Stream |Prism Scale (common), Grip Claw (rare)
101|Electrode |ELECTRIC         |  60|  50|  70| 140|  80|  80|Blaze       |Damp        |Magic Guard |
102|Exeggcute |GRASS/PSYCHIC    |  60|  40|  80|  40|  60|  45|Overgrow    |Arena Trap  |Dry Skin    |Protein (rare)
103|Exeggutor |GRASS/PSYCHIC    |  95|  95|  85|  55| 125|  65|Natural Cure|--          |Frisk       |
104|Cubone    |GROUND           |  50|  50|  95|  35|  40|  50|Ice Body    |Plus        |Soundproof  |
105|Marowak   |GROUND           |  60|  80| 110|  45|  50|  80|Water Veil  |--          |Cute Charm  |Silk Scarf (common), Repel (dark grass only)
106|Hitmonlee |FIGHTING         |  50| 120|  53|  87|  35| 110|Marvel Scale|--          |Motor Drive |Shell Bell (dark grass only)
107|Hitmonchan|FIGHTING         |  50| 105|  79|  76|  35| 110|Wonder Guard|Anger Point |Motor Drive |Hard Stone (100%)
108|Lickitung |NORMAL           |  90|  55|  75|  30|  60|  75|Flower Gift |--          |Serene Grace|
109|Koffing   |POISON           |  40|  65|  95|  35|  60|  45|White Smoke |Soundproof  |Inner Focus |Relic Statue (common), Reaper Cloth (rare), Muscle Wing (dark grass only)
110|Weezing   |POISON           |  65|  90| 120|  60|  85|  70|Dry Skin    |Chlorophyll |Lightningrod|Net Ball (common), Super Potion (dark grass only)
111|Rhyhorn   |GROUND/ROCK      |  80|  85|  95|  25|  30|  30|Water Veil  |--          |White Smoke |Wave Incense (dark grass only)
112|Rhydon    |GROUND/ROCK      | 105| 130| 120|  40|  45|  45|Multitype   |--          |Forewarn    |Poison Gem (dark grass only)
113|Chansey   |NORMAL           | 250|   5|   5|  50|  35| 105|Arena Trap  |Anticipation|Water Veil  |Heat Rock (rare), Choice Band (dark grass only)
114|Tangela   |GRASS            |  65|  55| 115|  60| 100|  40|Air Lock    |Anticipation|Compoundeyes|Wise Glasses (dark grass only)
115|Kangaskhan|NORMAL           | 105|  95|  80|  90|  40|  80|Stall       |--          |Guts        |
116|Horsea    |WATER            |  30|  40|  70|  60|  70|  25|Tangled Feet|--          |Liquid Ooze |Electric Gem (common)
117|Seadra    |WATER            |  55|  65|  95|  85|  95|  45|Shield Dust |--          |White Smoke |
118|Goldeen   |WATER            |  45|  67|  60|  63|  35|  50|Hyper Cutter|--          |Drizzle     |Big Pearl (dark grass only)
119|Seaking   |WATER            |  80|  92|  65|  68|  65|  80|Swift Swim  |Bad Dreams  |Volt Absorb |
120|Staryu    |WATER            |  30|  45|  55|  85|  70|  55|Limber      |--          |Early Bird  |Dubious Disc (common), Claw Fossil (dark grass only)
121|Starmie   |WATER/PSYCHIC    |  60|  75|  85| 115| 100|  85|Inner Focus |--          |Solid Rock  |Iron (100%)
122|Mr. Mime  |PSYCHIC          |  40|  45|  65|  90| 100| 120|Klutz       |--          |Air Lock    |
123|Scyther   |BUG/FLYING       |  70| 110|  80| 105|  55|  80|Magic Guard |--          |Own Tempo   |Sweet Heart (dark grass only)
124|Jynx      |ICE/PSYCHIC      |  65|  50|  35|  95| 115|  95|Download    |--          |Ice Body    |Soda Pop (100%)
125|Electabuzz|ELECTRIC         |  65|  83|  57| 105|  95|  85|Liquid Ooze |Slow Start  |Keen Eye    |Ether (common), Dragon Fang (rare), Dusk Stone (dark grass only)
126|Magmar    |FIRE             |  65|  95|  57|  93| 100|  85|Battle Armor|Suction Cups|Damp        |Steel Gem (common), Soft Sand (rare)
127|Pinsir    |BUG              |  65| 125| 100|  85|  55|  70|Filter      |--          |Clear Body  |Black Flute (dark grass only)
128|Tauros    |NORMAL           |  75| 100|  95| 110|  40|  70|Illuminate  |--          |Cloud Nine  |Mystic Water (common), Great Ball (dark grass only)
129|Magikarp  |WATER            |  20|  10|  55|  80|  15|  20|Guts        |Rain Dish   |Tangled Feet|
130|Gyarados  |WATER/FLYING     |  95| 125|  79|  81|  60| 100|Pure Power  |Cloud Nine  |Flame Body  |
131|Lapras    |WATER/ICE        | 130|  85|  80|  60|  85|  95|Soundproof  |Aftermath   |Ice Body    |Amulet Coin (rare)
132|Ditto     |NORMAL           |  48|  48|  48|  48|  48|  48|Thick Fat   |Static      |Tinted Lens |Magnet (common), Up-Grade (dark grass only)
133|Eevee     |NORMAL           |  55|  55|  50|  55|  45|  65|Natural Cure|Air Lock    |Unburden    |Metronome (100%)
134|Vaporeon  |WATER            | 130|  65|  60|  65| 110|  95|Pickup      |Solid Rock  |Slow Start  |Max Elixir (dark grass only)
135|Jolteon   |ELECTRIC         |  65|  65|  60| 130| 110|  95|Sand Veil   |Multitype   |Shield Dust |
136|Flareon   |FIRE             |  65| 130|  60|  65|  95| 110|Unburden    |Rain Dish   |Adaptability|Awakening (common)
137|Porygon   |NORMAL           |  65|  60|  70|  40|  85|  75|Immunity    |Anticipation|Minus       |SilverPowder (dark grass only)
138|Omanyte   |ROCK/WATER       |  35|  40| 100|  35|  90|  55|Shield Dust |Lightningrod|Clear Body  |Light Clay (dark grass only)
139|Omastar   |ROCK/WATER       |  70|  60| 125|  55| 115|  70|Flash Fire  |Swarm       |Magnet Pull |
140|Kabuto    |ROCK/WATER       |  30|  80|  90|  55|  55|  45|Heatproof   |--          |Immunity    |
141|Kabutops  |ROCK/WATER       |  60| 115| 105|  80|  65|  70|Poison Heal |--          |Cloud Nine  |
142|Aerodactyl|ROCK/FLYING      |  80| 105|  65| 130|  60|  75|Super Luck  |Natural Cure|Rough Skin  |Relic Crown (dark grass only)
143|Snorlax   |NORMAL           | 160| 110|  65|  30|  65| 110|Steadfast   |--          |Forewarn    |DeepSeaTooth (common), Light Clay (rare), BlackGlasses (dark grass only)
144|Articuno  |ICE/FLYING       |  90|  85| 100|  85|  95| 125|Tinted Lens |Chlorophyll |Shield Dust |
145|Zapdos    |ELECTRIC/FLYING  |  90|  90|  85| 100| 125|  90|Scrappy     |Own Tempo   |Air Lock    |Shoal Salt (common), Cherish Ball (rare), Star Piece (dark grass only)
146|Moltres   |FIRE/FLYING      |  90| 100|  90|  90| 125|  85|Minus       |Anticipation|Leaf Guard  |Zap Plate (dark grass only)
147|Dratini   |DRAGON           |  41|  64|  45|  50|  50|  50|Skill Link  |Bad Dreams  |Adaptability|Premier Ball (rare), Power Band (dark grass only)
148|Dragonair |DRAGON           |  61|  84|  65|  70|  70|  70|Blaze       |--          |Synchronize |Quick Ball (dark grass only)
149|Dragonite |DRAGON/FLYING    |  91| 134|  95|  80| 100| 100|Blaze       |Hyper Cutter|Rock Head   |
150|Mewtwo    |PSYCHIC          | 106| 110|  90| 130| 154|  90|Vital Spirit|--          |Solar Power |
151|Mew       |PSYCHIC          | 100| 100| 100| 100| 100| 100|Snow Cloak  |Unburden    |Aftermath   |Zoom Lens (100%)
152|Chikorita |GRASS            |  45|  49|  65|  45|  49|  65|Anticipation|Rough Skin  |Air Lock    |Miracle Seed (common)
153|Bayleef   |GRASS            |  60|  62|  80|  60|  63|  80|Sticky Hold |--          |Skill Link  |Steel Gem (common)
154|Meganium  |GRASS            |  80|  82| 100|  80|  83| 100|Insomnia    |--          |Static      |
155|Cyndaquil |FIRE             |  39|  52|  43|  65|  60|  50|Download    |--          |Unaware     |Hard Stone (common), Protein (dark grass only)
156|Quilava   |FIRE             |  58|  64|  58|  80|  80|  65|Volt Absorb |--          |Water Absorb|TinyMushroom (dark grass only)
157|Typhlosion|FIRE             |  78|  84|  78| 100| 109|  85|Steadfast   |--          |Immunity    |
158|Totodile  |WATER            |  50|  65|  64|  43|  44|  48|Flame Body  |Snow Warning|Swift Swim  |Thunderstone (common)
159|Croconaw  |WATER            |  65|  80|  80|  58|  59|  63|Lightningrod|--          |Compoundeyes|Rare Bone (rare)
160|Feraligatr|WATER            |  85| 105| 100|  78|  79|  83|Damp        |--          |Huge Power  |
161|Sentret   |NORMAL           |  35|  46|  34|  20|  35|  45|Huge Power  |--          |Run Away    |Red Shard (common), PP Up (rare)
162|Furret    |NORMAL           |  85|  76|  64|  90|  45|  55|Arena Trap  |--          |Inner Focus |
163|Hoothoot  |NORMAL/FLYING    |  60|  30|  30|  50|  36|  56|Lightningrod|--          |Snow Cloak  |
164|Noctowl   |NORMAL/FLYING    | 100|  50|  50|  70|  76|  96|Aftermath   |Magnet Pull |Rough Skin  |Shoal Shell (dark grass only)
165|Ledyba    |BUG/FLYING       |  40|  20|  30|  55|  40|  80|Water Absorb|--          |Volt Absorb |DeepSeaTooth (dark grass only)
166|Ledian    |BUG/FLYING       |  55|  35|  50|  85|  55| 110|Pickup      |Rock Head   |Sand Stream |
167|Spinarak  |BUG/POISON       |  40|  60|  40|  30|  40|  40|Serene Grace|Gluttony    |Water Veil  |
168|Ariados   |BUG/POISON       |  70|  90|  70|  40|  60|  60|Simple      |Magnet Pull |Wonder Guard|Focus Sash (common), Exp. Share (rare), Rock Incense (dark grass only)
169|Crobat    |POISON/FLYING    |  85|  90|  80| 130|  70|  80|White Smoke |Thick Fat   |Tinted Lens |Poison Barb (common)
170|Chinchou  |WATER/ELECTRIC   |  75|  38|  38|  67|  56|  56|Wonder Guard|Gluttony    |Filter      |
171|Lanturn   |WATER/ELECTRIC   | 125|  58|  58|  67|  76|  76|Cloud Nine  |--          |Flame Body  |
172|Pichu     |ELECTRIC         |  20|  40|  15|  60|  35|  35|Shield Dust |Hydration   |Run Away    |Relic Copper (rare), Revive (dark grass only)
173|Cleffa    |NORMAL           |  50|  25|  28|  15|  45|  55|Early Bird  |--          |Volt Absorb |Electric Gem (rare)
174|Igglybuff |NORMAL           |  90|  30|  15|  15|  40|  20|Dry Skin    |Rough Skin  |Suction Cups|Mystic Water (common), Elixir (rare), Master Ball (dark grass only)
175|Togepi    |NORMAL           |  35|  20|  65|  20|  40|  65|Insomnia    |--          |Magnet Pull |
176|Togetic   |NORMAL/FLYING    |  55|  40|  85|  40|  80| 105|Swarm       |Snow Warning|Truant      |Lum Berry (dark grass only)
177|Natu      |PSYCHIC/FLYING   |  40|  50|  45|  70|  70|  45|Hustle      |Snow Cloak  |Limber      |Dragon Gem (dark grass only)
178|Xatu      |PSYCHIC/FLYING   |  65|  75|  70|  95|  95|  70|Compoundeyes|--          |Chlorophyll |Spell Tag (common)
179|Mareep    |ELECTRIC         |  55|  40|  40|  35|  65|  45|Own Tempo   |--          |Natural Cure|Light Clay (rare), Rawst Berry (dark grass only)
180|Flaaffy   |ELECTRIC         |  70|  55|  55|  45|  80|  60|Snow Warning|--          |Damp        |Shoal Salt (dark grass only)
181|Ampharos  |ELECTRIC         |  90|  75|  75|  55| 115|  90|Huge Power  |--          |Super Luck  |Water Stone (common)
182|Bellossom |GRASS            |  75|  80|  85|  50|  90| 100|Magma Armor |Keen Eye    |Shadow Tag  |Macho Brace (rare), Zap Plate (dark grass only)
183|Marill    |WATER            |  70|  20|  50|  40|  20|  50|Hustle      |--          |Stench      |
184|Azumarill |WATER            | 100|  50|  80|  50|  50|  80|Lightningrod|--          |Early Bird  |Relic Silver (rare), Elixir (dark grass only)
185|Sudowoodo |ROCK             |  70| 100| 115|  30|  30|  65|Snow Warning|Pickup      |Poison Point|Stone Plate (dark grass only)
186|Politoed  |WATER            |  90|  75|  75|  70|  90| 100|Anticipation|--          |Plus        |Lax Incense (common), Honey (rare), Poké Toy (dark grass only)
187|Hoppip    |GRASS/FLYING     |  35|  35|  40|  50|  35|  55|Cute Charm  |Quick Feet  |Water Absorb|
188|Skiploom  |GRASS/FLYING     |  55|  45|  50|  80|  45|  65|Truant      |--          |Magma Armor |Mind Plate (rare), Metal Coat (dark grass only)
189|Jumpluff  |GRASS/FLYING     |  75|  55|  70| 110|  55|  85|Wonder Guard|--          |Honey Gather|Fighting Gem (common)
190|Aipom     |NORMAL           |  55|  70|  55|  85|  40|  55|Reckless    |--          |Simple      |Armor Fossil (common), Dragon Scale (dark grass only)
191|Sunkern   |GRASS            |  30|  30|  30|  30|  30|  30|Sand Stream |Thick Fat   |Rock Head   |Heat Rock (common), Safari Ball (rare), Awakening (dark grass only)
192|Sunflora  |GRASS            |  75|  75|  55|  30| 105|  85|Sand Veil   |--          |Truant      |Mind Plate (common), EnergyPowder (dark grass only)
193|Yanma     |BUG/FLYING       |  65|  65|  45|  95|  75|  45|Plus        |Dry Skin    |Tangled Feet|HP Up (common), Comet Shard (rare), Absorb Bulb (dark grass only)
194|Wooper    |WATER/GROUND     |  55|  45|  45|  15|  25|  25|Stall       |--          |Water Absorb|
195|Quagsire  |WATER/GROUND     |  95|  85|  85|  35|  65|  65|Suction Cups|Sand Stream |Ice Body    |
196|Espeon    |PSYCHIC          |  65|  65|  60| 110| 130|  95|Compoundeyes|--          |Multitype   |Wave Incense (rare)
197|Umbreon   |DARK             |  95|  65| 110|  65|  60| 130|Marvel Scale|Solar Power |Shell Armor |Protein (rare), Stardust (dark grass only)
198|Murkrow   |DARK/FLYING      |  60|  85|  42|  91|  85|  42|Cute Charm  |--          |Run Away    |Rock Incense (dark grass only)
199|Slowking  |WATER/PSYCHIC    |  95|  75|  80|  30| 100| 110|Anticipation|Drought     |Hydration   |Bug Gem (common), Pretty Wing (rare)
200|Misdreavus|GHOST            |  60|  60|  60|  85|  85|  85|Water Veil  |--          |Magma Armor |Ground Gem (dark grass only)
201|Unown     |PSYCHIC          |  48|  72|  48|  48|  72|  48|Immunity    |Snow Cloak  |Gluttony    |
202|Wobbuffet |PSYCHIC          | 190|  33|  58|  33|  33|  58|Anticipation|Sticky Hold |Overgrow    |Zinc (dark grass only)
203|Girafarig |NORMAL/PSYCHIC   |  70|  80|  65|  85|  90|  65|Illuminate  |Rough Skin  |Natural Cure|Mystic Water (dark grass only)
204|Pineco    |BUG              |  50|  65|  90|  15|  35|  35|Volt Absorb |--          |Keen Eye    |Exp. Share (dark grass only)
205|Forretress|BUG/STEEL        |  75|  90| 140|  40|  60|  60|Minus       |--          |Torrent     |Razor Claw (common)
206|Dunsparce |NORMAL           | 100|  70|  70|  45|  65|  65|Cute Charm  |Own Tempo   |Filter      |Moon Stone (dark grass only)
207|Gligar    |GROUND/FLYING    |  65|  75| 105|  85|  35|  65|Hydration   |Immunity    |Steadfast   |Quick Powder (dark grass only)
208|Steelix   |STEEL/GROUND     |  75|  85| 200|  30|  55|  65|Cute Charm  |Unaware     |Dry Skin    |Ultra Ball (rare), Fluffy Tail (dark grass only)
