Seed: 182339442737970
Config String: 172GQMRCgiCAYUBiAEylF0eAh4CCgAACg A9CRcOAAAAAAAACAAyFFBva2Vtb24gUGxhdGludW0gKFUpOopn5uPDOIo==

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF| SPE|SATK|SDEF|ABILITY1    |ABILITY2    |ITEM
 66|MACHOP    |DARK             |  62|  32|  65|  66|  68|  12|Drizzle     |Air Lock    |Mind Plate (100%)
 67|MACHOKE   |DARK             |  82|  42|  86|  88|  90|  16|Drizzle     |Air Lock    |
 68|MACHAMP   |DARK             | 103|  53| 108| 110| 113|  20|Drizzle     |Air Lock    |SilverPowder (rare)
 69|BELLSPROUT|WATER            |  83|  14|  13|  71|  52|  67|Inner Focus |Color Change|Dubious Disc (common)
 70|WEEPINBELL|WATER            | 108|  18|  17|  92|  68|  87|Inner Focus |Color Change|TM15 (common), TM92 (rare)
 71|VICTREEBEL|WATER            | 133|  22|  21| 113|  84| 107|Inner Focus |Color Change|
 72|TENTACOOL |BUG              |  36|  71|  50|  82|  56|  39|Anger Point | -          |Thunderstone (rare)
 73|TENTACRUEL|BUG              |  56| 109|  77| 126|  86|  60|Anger Point | -          |Aspear Berry (100%)
 74|GEODUDE   |ICE              |  21|  77|  22|  52|  48|  79|Static      | -          |
 75|GRAVELER  |ICE              |  27| 100|  29|  68|  63| 103|Static      | -          |
 76|GOLEM     |ICE              |  34| 124|  36|  85|  78| 128|Static      | -          |Dread Plate (common), TM14 (rare)
 77|PONYTA    |GROUND           |  73|  29|  72|  46| 135|  55|Pure Power  | -          |TM38 (100%)
 78|RAPIDASH  |GROUND           |  89|  35|  88|  56| 165|  67|Pure Power  | -          |
 79|SLOWPOKE  |STEEL            |  97|  59|  59|  75|  11|  14|Stall       |Solid Rock  |
 80|SLOWBRO   |NORMAL/GHOST     |  58| 161|  45|  44|  48| 134|Magma Armor | -          |Fist Plate (common), Quick Ball (rare)
 81|MAGNEMITE |NORMAL           |  73|  19|  67|  46|  52|  68|Unaware     | -          |
 82|MAGNETON  |NORMAL           | 104|  27|  96|  66|  74|  97|Unaware     | -          |
 83|FARFETCH’D|DARK/FLYING      | 126|  35|  25|  62|  37|  67|Liquid Ooze | -          |
 84|DODUO     |STEEL            |  68|  70|  14|  71|  72|  16|Quick Feet  |Illuminate  |Power Band (common), Max Potion (rare)
 85|DODRIO    |STEEL            | 101| 104|  21| 105| 106|  24|Quick Feet  |Illuminate  |TM90 (common)
 86|SEEL      |FIRE             |  46|  49|  68|  69|  67|  27|Rough Skin  |Shed Skin   |
 87|DEWGONG   |FIRE             |  67|  71|  99| 101|  98|  39|Rough Skin  |Shed Skin   |
 88|GRIMER    |WATER            |  35|  83|  60| 120|  12|  16|Snow Cloak  | -          |
 89|MUK       |WATER            |  54| 127|  92| 184|  18|  25|Snow Cloak  | -          |TM69 (common), TM56 (rare)
 90|SHELLDER  |ROCK             |  73|  42|  85|  25|  24|  57|Vital Spirit| -          |TM45 (common), Pecha Berry (rare)
 91|CLOYSTER  |ROCK             | 125|  72| 146|  43|  41|  98|Vital Spirit| -          |Luxury Ball (common), Damp Rock (rare)
 92|GASTLY    |ROCK             |  71|  25|  32|  64|  59|  59|Heatproof   | -          |
 93|HAUNTER   |ROCK             |  93|  33|  42|  84|  77|  77|Heatproof   | -          |Miracle Seed (common)
 94|GENGAR    |ROCK/WATER       | 115|  41|  52| 103|  95|  95|Heatproof   | -          |Meadow Plate (common), Sitrus Berry (rare)
 95|ONIX      |ROCK             | 117|  72|  19|  34|  60|  83|Hydration   | -          |TM17 (rare)
 96|DROWZEE   |NORMAL           |  98|  23|  39|  24|  93|  52|Motor Drive |Normalize   |
 97|HYPNO     |NORMAL/BUG       | 144|  34|  57|  35| 137|  76|Motor Drive |Normalize   |
 98|KRABBY    |DRAGON/GROUND    |  87|  57|  46|  26|  37|  73|Synchronize | -          |
 99|KINGLER   |DRAGON/GROUND    | 127|  83|  67|  38|  54| 106|Synchronize | -          |TM01 (common)
100|VOLTORB   |POISON           | 118|  36|  80|  20|  22|  54|Flame Body  | -          |
101|ELECTRODE |POISON/STEEL     | 172|  52| 116|  29|  32|  79|Flame Body  | -          |
102|EXEGGCUTE |POISON           | 117|  82|  14|  83|  16|  12|Shell Armor | -          |TM59 (common), Timer Ball (rare)
103|EXEGGUTOR |POISON/DRAGON    | 188| 132|  22| 133|  26|  19|Shell Armor | -          |
104|CUBONE    |DARK             |  95|  23|  40|  24|  70|  67|White Smoke | -          |
105|MAROWAK   |DARK             | 127|  31|  53|  32|  93|  89|White Smoke | -          |
106|HITMONLEE |WATER/FIRE       | 110|  96|  12| 102|  21| 114|Tinted Lens | -          |Mystic Water (100%)
107|HITMONCHAN|NORMAL           |  90|  94| 104|  49|  44|  75|Tinted Lens | -          |Max Potion (rare)
108|LICKITUNG |GRASS/ROCK       |  84|  38| 144|  77|  26|  16|Color Change| -          |
109|KOFFING   |DRAGON           |  34|  87|  93|  21|  39|  66|Scrappy     |Hyper Cutter|TM76 (rare)
110|WEEZING   |DRAGON           |  49| 125| 134|  30|  56|  95|Scrappy     |Hyper Cutter|Heart Scale (common)
111|RHYHORN   |STEEL            | 118|  24|  58|  19|  27|  99|Aftermath   | -          |
112|RHYDON    |STEEL            | 166|  34|  82|  27|  38| 139|Aftermath   | -          |TM47 (common)
113|CHANSEY   |ELECTRIC         |  60|  90| 101| 103|  74|  23|Download    |Poison Heal |
114|TANGELA   |FIRE/DRAGON      |  41|  74| 105|  79|  51|  86|Dry Skin    |Tangled Feet|
115|KANGASKHAN|STEEL/BUG        |  94|  34|  71|  97| 101|  92|Honey Gather|Keen Eye    |TM06 (rare)
116|HORSEA    |ROCK             |  49|  64|  12|  60|  55|  55|Rock Head   |Hyper Cutter|
117|SEADRA    |ROCK             |  73|  95|  18|  89|  82|  82|Rock Head   |Hyper Cutter|TM49 (common), Mystic Water (rare)
118|GOLDEEN   |FIGHTING         |  81|  39|  14|  34|  80|  72|Multitype   | -          |Focus Sash (common), Cherish Ball (rare)
119|SEAKING   |FIGHTING         | 114|  55|  20|  48| 113| 101|Multitype   | -          |
120|STARYU    |FIGHTING         |  22| 108| 106|  51|  13|  40|Filter      |Compoundeyes|TM50 (common), Max Potion (rare)
121|STARMIE   |FIGHTING         |  34| 165| 162|  78|  20|  61|Filter      |Compoundeyes|
122|MR. MIME  |DRAGON           | 101|  89|  67|  80|  72|  52|Storm Drain | -          |
123|SCYTHER   |GRASS            |  65| 109|  61|  39| 111| 116|Flame Body  | -          |
124|JYNX      |DRAGON/FLYING    | 106|  90|  67|  73|  36|  84|Soundproof  |Storm Drain |TM41 (100%)
125|ELECTABUZZ|WATER            |  63| 106|  87| 119|  34|  81|Rock Head   | -          |TM09 (100%)
126|MAGMAR    |FIGHTING/DRAGON  |  46|  41| 111| 170|  81|  46|Water Veil  | -          |
127|PINSIR    |ROCK             |  86|  99|  76|  92|  88|  59|Speed Boost |Cute Charm  |
128|TAUROS    |DRAGON           |  40|  45| 105|  82| 121|  96|Poison Heal |Super Luck  |TM50 (common)
129|MAGIKARP  |ELECTRIC/FIRE    |  42|  38|  29|  38|  12|  40|Serene Grace|Effect Spore|Expert Belt (common), Soft Sand (rare)
130|GYARADOS  |ELECTRIC/FIRE    | 114| 103|  79| 103|  33| 109|Serene Grace|Effect Spore|Shed Shell (common)
131|LAPRAS    |GHOST/BUG        |  48| 104| 149|  23|  57| 153|Run Away    | -          |
132|DITTO     |WATER/STEEL      |  64|  61|  33|  57|  30|  42|Motor Drive |Download    |TM63 (rare)
133|EEVEE     |POISON/NORMAL    |  30|  89|  48|  23|  43|  92|Speed Boost | -          |
134|VAPOREON  |FLYING           | 120|  45|  75| 112|  98|  75|Poison Heal |Gluttony    |
135|JOLTEON   |GROUND/GHOST     | 202|  11|  30|  90|  89| 103|Sand Veil   |Shadow Tag  |
136|FLAREON   |POISON           |  44|  93|  40| 136| 126|  85|Honey Gather|Swift Swim  |
137|PORYGON   |FIRE             |  37|  54| 114|  42|  25| 122|Huge Power  | -          |
138|OMANYTE   |WATER            |  63| 119|  24|  50|  24|  75|Oblivious   |Pure Power  |TM47 (rare)
139|OMASTAR   |WATER/STEEL      |  88| 166|  33|  70|  33| 105|Oblivious   |Pure Power  |Carbos (common)
140|KABUTO    |FLYING           |  62|  59|  82|  66|  19|  66|Forecast    | -          |TM59 (common)
141|KABUTOPS  |FLYING           |  87|  83| 115|  92|  27|  92|Forecast    | -          |Dive Ball (rare)
142|AERODACTYL|DARK/FLYING      | 135|  87| 130|  53|  90|  20|Slow Start  |Poison Point|
143|SNORLAX   |ROCK             | 177|  33|  29|  48|  55| 197|Magnet Pull |Rain Dish   |Lax Incense (100%)
144|ARTICUNO  |FLYING           | 129|  28|  96|  81| 134| 113|Rock Head   |Water Absorb|
145|ZAPDOS    |ICE              |  39| 108| 160|  76|  63| 134|Technician  |Cloud Nine  |
146|MOLTRES   |STEEL            |  49| 172| 103| 125|  42|  89|Download    |Anticipation|
147|DRATINI   |PSYCHIC          |  74|  66|  46|  13|  76|  24|Drought     | -          |
148|DRAGONAIR |PSYCHIC          | 104|  93|  65|  18| 107|  34|Drought     | -          |
149|DRAGONITE |PSYCHIC/ICE      | 148| 133|  93|  26| 152|  48|Drought     | -          |BrightPowder (rare)
150|MEWTWO    |NORMAL/DRAGON    | 145| 156|  62| 124|  85| 107|Solid Rock  | -          |
151|MEW       |GRASS            | 163|  85| 173|  80|  74|  25|Liquid Ooze |Sticky Hold |Blue Shard (common), TM14 (rare)
152|CHIKORITA |GRASS/GROUND     |  44|  43|  51|  66|  48|  67|Static      |Pickup      |TM05 (common)
153|BAYLEEF   |GRASS/GROUND     |  56|  55|  65|  84|  61|  85|Static      |Pickup      |
154|MEGANIUM  |GRASS/GROUND     |  72|  71|  84| 109|  79| 110|Static      |Pickup      |Icy Rock (common), TM04 (rare)
155|CYNDAQUIL |DARK             |  61|  72|  39|  25|  61|  51|Hydration   |Suction Cups|
156|QUILAVA   |DARK             |  80|  94|  51|  33|  80|  67|Hydration   |Suction Cups|
157|TYPHLOSION|DARK/ROCK        | 105| 124|  67|  44| 105|  88|Hydration   |Suction Cups|Spell Tag (rare)
158|TOTODILE  |ICE              |  72|  68|  37|  26|  71|  40|Rough Skin  | -          |
159|CROCONAW  |ICE              |  93|  88|  48|  34|  92|  52|Rough Skin  | -          |TM87 (rare)
160|FERALIGATR|ICE              | 121| 115|  63|  44| 120|  68|Rough Skin  | -          |TM13 (common), Dubious Disc (rare)
161|SENTRET   |PSYCHIC/BUG      |  61|  32|  24|  22|  57|  18|Sticky Hold | -          |X Speed (rare)
162|FURRET    |PSYCHIC/BUG      | 118|  62|  47|  43| 111|  35|Sticky Hold | -          |
163|HOOTHOOT  |ICE/BUG          |  77|  65|  18|  49|  31|  21|Swift Swim  | -          |
164|NOCTOWL   |ICE/BUG          | 130| 110|  30|  83|  52|  36|Swift Swim  | -          |
165|LEDYBA    |NORMAL           |  33|  32|  84|  53|  48|  15|Drizzle     | -          |Safari Ball (rare)
166|LEDIAN    |NORMAL           |  49|  47| 124|  78|  71|  22|Drizzle     | -          |TM76 (rare)
167|SPINARAK  |DRAGON/ICE       |  35|  37|  29|  89|  32|  27|White Smoke | -          |
168|ARIADOS   |DRAGON/ICE       |  55|  58|  45| 139|  50|  42|White Smoke | -          |TM74 (rare)
169|CROBAT    |GROUND           | 146|  92|  57| 105| 110|  26|Clear Body  | -          |Old Gateau (common)
170|CHINCHOU  |STEEL/FIGHTING   |  41|  13|  54|  86|  53|  83|Frisk       |Unaware     |
171|LANTURN   |STEEL/FIGHTING   |  57|  18|  75| 120|  74| 116|Frisk       |Unaware     |
172|PICHU     |WATER/GHOST      |  33|  34|  22|  37|  39|  40|Stench      | -          |Max Potion (rare)
173|CLEFFA    |FIGHTING/GROUND  |  61|  30|  13|  47|  39|  27|Simple      |Guts        |TM34 (common), Wise Glasses (rare)
174|IGGLYBUFF |ROCK             |  40|  30|  39|  45|  15|  42|Gluttony    | -          |Fist Plate (rare)
175|TOGEPI    |PSYCHIC          |  32|  54|  43|  11|  57|  47|Guts        |Hyper Cutter|Timer Ball (rare)
176|TOGETIC   |PSYCHIC          |  53|  90|  71|  18|  95|  78|Guts        |Hyper Cutter|
177|NATU      |FLYING/BUG       |  30|  89|  11|  44|  50|  97|Tinted Lens |Run Away    |
178|XATU      |FLYING/BUG       |  44| 130|  16|  64|  73| 142|Tinted Lens |Run Away    |Rock Incense (common), Honey (rare)
179|MAREEP    |POISON/ICE       |  72|  26| 118|  28|  16|  20|Frisk       | -          |
180|FLAAFFY   |POISON/ICE       |  94|  34| 154|  37|  21|  26|Frisk       | -          |
181|AMPHAROS  |POISON/ICE       | 128|  46| 210|  51|  29|  36|Frisk       | -          |Iron (common), TM43 (rare)
182|BELLOSSOM |DRAGON/ICE       | 148|  13|  74|  17|  76| 152|Guts        |Slow Start  |
183|MARILL    |ROCK             |  66|  58|  43|  46|  14|  22|Effect Spore| -          |
184|AZUMARILL |ROCK/FLYING      | 109|  96|  71|  76|  23|  36|Effect Spore| -          |
185|SUDOWOODO |PSYCHIC/FLYING   |  48|  41| 107| 110|  44|  59|Rivalry     |Filter      |X Accuracy (rare)
186|POLITOED  |POISON           | 162|  75|  55|  83|  60|  66|Speed Boost |Mold Breaker|
187|HOPPIP    |ELECTRIC/NORMAL  |  48|  57|  42|  15|  55|  33|Flower Gift |Download    |Sea Incense (common), TM72 (rare)
188|SKIPLOOM  |ELECTRIC/NORMAL  |  65|  78|  57|  20|  75|  45|Flower Gift |Download    |TM32 (common), Pure Incense (rare)
189|JUMPLUFF  |ELECTRIC/NORMAL  |  86| 103|  75|  26|  99|  60|Flower Gift |Download    |
190|AIPOM     |DRAGON           |  80|  21| 120|  97|  28|  13|Steadfast   |Soundproof  |Magnet (common), TM38 (rare)
191|SUNKERN   |BUG/FIGHTING     |  42|  44|  19|  21|  36|  18|Slow Start  |Anticipation|Guard Spec. (common), TM82 (rare)
192|SUNFLORA  |BUG/FIGHTING     |  99| 104|  45|  50|  85|  43|Slow Start  |Anticipation|TM65 (common), Power Bracer (rare)
193|YANMA     |DARK             |  75|  11| 108| 105|  39|  53|Guts        |Chlorophyll |
194|WOOPER    |WATER            |  40|  43|  38|  27|  14|  47|Sturdy      |Static      |Max Repel (100%)
195|QUAGSIRE  |WATER            |  82|  88|  78|  56|  29|  97|Sturdy      |Static      |
196|ESPEON    |ICE/ROCK         | 135|  36|  27|  48| 139| 140|Rock Head   | -          |Old Gateau (common)
197|UMBREON   |STEEL            | 131|  69|  85| 101|  25| 114|Keen Eye    |Flash Fire  |Power Herb (100%)
198|MURKROW   |GRASS            |  39|  90|  77|  30| 145|  24|Normalize   | -          |
199|SLOWKING  |ELECTRIC/FIGHTING|  56|  99| 120|  80|  79|  56|White Smoke |Color Change|Hyper Potion (common), TM82 (rare)
200|MISDREAVUS|GRASS            |  42|  42|  95| 117| 125|  15|Sniper      |Own Tempo   |
201|UNOWN     |DRAGON           |  25| 105|  38|  76|  30|  60|Effect Spore|Flame Body  |Poké Ball (common), Zap Plate (rare)
202|WOBBUFFET |GRASS/ICE        |  54|  17|  43| 127| 143|  20|Unburden    | -          |Soothe Bell (100%)
203|GIRAFARIG |NORMAL           | 100|  81|  65|  99|  46|  63|Swarm       |Huge Power  |
204|PINECO    |FIRE             |  40|  90|  33|  36|  64|  27|Leaf Guard  | -          |
205|FORRETRESS|FIRE             |  64| 144|  53|  58| 103|  43|Leaf Guard  | -          |
206|DUNSPARCE |DRAGON           | 101|  53|  44|  53|  94|  71|Rough Skin  | -          |
207|GLIGAR    |DARK/ROCK        | 127|  89|  59|  37|  64|  53|Forecast    |Snow Cloak  |Black Sludge (common), Soda Pop (rare)
208|STEELIX   |ROCK             | 155|  95|  25|  45|  79| 110|Hydration   | -          |TM71 (common)
209|SNUBBULL  |BUG              |  79|  56|  33|  48|  38|  46|Liquid Ooze |Trace       |Max Revive (common), TM65 (rare)
210|GRANBULL  |BUG              | 119|  84|  50|  72|  57|  69|Liquid Ooze |Trace       |TM04 (common)
211|QWILFISH  |NORMAL           | 104|  70|  49|  21|  75| 112|Technician  |Unaware     |Fluffy Tail (common), NeverMeltIce (rare)
212|SCIZOR    |GRASS            |  65| 109|  61|  39| 111| 116|Flame Body  | -          |TM62 (common)
213|SHUCKLE   |FIGHTING         | 123|  83|  24| 196|  62|  18|Leaf Guard  | -          |TM60 (100%)
214|HERACROSS |GROUND/FLYING    |  84|  92|  58| 104|  89|  72|Motor Drive |Pure Power  |TM67 (common)
215|SNEASEL   |FLYING/FIRE      |  32|  72| 108|  65|  69|  85|Poison Heal |Soundproof  |
216|TEDDIURSA |BUG              |  47|  81|  60|  40|  43|  58|Rivalry     |Technician  |Fluffy Tail (common)
217|URSARING  |BUG              |  71| 123|  91|  61|  65|  88|Rivalry     |Technician  |TM42 (common)
218|SLUGMA    |FIRE             |  86|  11|  35|  75|  34|  11|Rain Dish   |Pressure    |
219|MAGCARGO  |FIRE             | 140|  18|  57| 122|  55|  18|Rain Dish   |Pressure    |
220|SWINUB    |ROCK             |  21|  39|  34|  56|  56|  44|Unburden    |Mold Breaker|Sky Plate (100%)
221|PILOSWINE |ROCK             |  38|  70|  61| 101| 101|  79|Unburden    |Mold Breaker|Toxic Orb (common), TM90 (rare)
222|CORSOLA   |ICE              |  74|  72|  80|  39|  59|  55|Drizzle     | -          |Exp. Share (common)
223|REMORAID  |ELECTRIC         |  74|  73|  40|  21|  28|  65|Magma Armor | -          |Blue Flute (rare)
224|OCTILLERY |ELECTRIC         | 118| 116|  64|  33|  45| 104|Magma Armor | -          |Helix Fossil (rare)
225|DELIBIRD  |DRAGON           |  44|  48|  52|  65|  55|  65|Clear Body  |Normalize   |TM47 (common)
226|MANTINE   |GHOST            |  86|  77|  82|  42|  90|  88|Aftermath   | -          |Escape Rope (100%)
227|SKARMORY  |FIGHTING/GHOST   |  27|  32| 181|  34|  79| 112|Arena Trap  | -          |SilverPowder (common), Power Herb (rare)
228|HOUNDOUR  |DARK             |  88|  19|  19|  12| 115|  77|Arena Trap  | -          |Heal Ball (common), Potion (rare)
229|HOUNDOOM  |DARK             | 133|  29|  29|  18| 174| 117|Arena Trap  | -          |
230|KINGDRA   |ROCK             |  90| 117|  22| 109| 101| 101|Rock Head   |Hyper Cutter|Spell Tag (100%)
231|PHANPY    |FIRE             |  63|  67|  13|  86|  68|  32|Anger Point | -          |TM09 (common)
232|DONPHAN   |FIRE             |  96| 102|  20| 131| 103|  49|Anger Point | -          |Fire Stone (rare)
233|PORYGON2  |FIRE             |  48|  71| 149|  55|  33| 159|Huge Power  | -          |Power Band (rare)
234|STANTLER  |ICE              |  82|  21|  71| 106|  93|  92|Scrappy     | -          |Nest Ball (common), Sea Incense (rare)
235|SMEARGLE  |DRAGON           |  51|  69|  36|  18|  30|  46|Own Tempo   |White Smoke |
236|TYROGUE   |DARK             |  49|  23|  42|  15|  42|  39|Stench      |Cloud Nine  |Iron Plate (rare)
237|HITMONTOP |WATER            | 107|  45|  64|  51| 155|  32|Minus       |Unaware     |TM71 (common), Big Root (rare)
238|SMOOCHUM  |DRAGON/FLYING    |  71|  60|  45|  49|  24|  56|Soundproof  |Storm Drain |Stone Plate (100%)
239|ELEKID    |WATER            |  46|  78|  64|  87|  25|  59|Rock Head   | -          |
240|MAGBY     |FIGHTING         |  34|  30|  82| 125|  60|  34|Water Veil  | -          |
241|MILTANK   |ROCK/FIGHTING    | 118| 112| 115|  19| 112|  14|Oblivious   | -          |Black Belt (100%)
242|BLISSEY   |ELECTRIC/GHOST   |  72| 108| 121| 123|  89|  28|Download    |Poison Heal |
243|RAIKOU    |STEEL            | 181|  12| 116|  12| 171|  86|Own Tempo   |Snow Warning|
244|ENTEI     |GROUND           | 103| 101|  73|  74|  97| 132|Pickup      | -          |
245|SUICUNE   |GROUND/FLYING    |  75| 153| 154|  66|  39|  93|Insomnia    |Shield Dust |
246|LARVITAR  |GHOST/DRAGON     |  75|  31|  85|  25|  72|  12|Klutz       |Drought     |
247|PUPITAR   |GHOST/DRAGON     | 103|  42| 116|  34|  98|  16|Klutz       |Drought     |Claw Fossil (100%)
248|TYRANITAR |GHOST/DRAGON     | 151|  62| 170|  50| 144|  23|Klutz       |Drought     |White Flute (common), Exp. Share (rare)
